Feature	C1	C2	C3	C4	C5
NOTCH2	6.07502646715077	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16
PDE4DIP	4.994732229819915	3.1265372475686095	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16
PIM1	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	8.499015191746738	15.90994122006701
POU2AF1	1.0023010903627456	2.220446049250313e-16	2.844831649309623	2.220446049250313e-16	2.220446049250313e-16
POU2F2	1.900665003786764	2.220446049250313e-16	3.5126724637086726	2.220446049250313e-16	2.220446049250313e-16
PRDM1	3.303672874985444	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	3.8735082226184465
PRKCB	1.2454534447900445	0.6817654281643037	2.220446049250313e-16	0.187107546820799	1.2463355620294165
PTEN	0.7111848269322062	2.220446049250313e-16	2.667739021206666	2.220446049250313e-16	2.220446049250313e-16
PTPN6	3.948767203648002	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16
RHOA	0.8932261744263402	2.220446049250313e-16	0.6238546117929624	3.5492446699675706	2.220446049250313e-16
SF3B1	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	3.182769200950173	2.220446049250313e-16
SGK1	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	14.163322944228263	2.220446049250313e-16
SIN3A	2.220446049250313e-16	0.6230940557706002	1.4290626797630377	1.5678540238952008	2.220446049250313e-16
SPEN	4.987491423840613	1.777133082984755	0.715641160118874	2.220446049250313e-16	1.4719790135111488
STAT3	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	6.04726148180533	2.220446049250313e-16
STAT6	2.220446049250313e-16	2.220446049250313e-16	1.6848503318721928	2.4275016337036397	0.5496200219406547
TBL1XR1	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	7.188689711669133
TLR2	1.1199464276702866	1.2539984126197032	0.45070636589798113	2.220446049250313e-16	2.220446049250313e-16
TMEM30A	5.163772497078157	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16
TMSB4X	2.214163285338263	2.220446049250313e-16	2.220446049250313e-16	3.4869767091611403	6.790854920866316
TNFAIP3	7.14710862725927	2.220446049250313e-16	0.9713101498479083	2.220446049250313e-16	2.220446049250313e-16
TNFRSF14	2.220446049250313e-16	2.220446049250313e-16	8.18404856591277	5.5606115731963595	2.220446049250313e-16
TOX	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	3.819323041140207	2.220446049250313e-16
TP53	2.220446049250313e-16	18.38056893084347	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16
UBE2A	3.29041171019086	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	0.37298629990888266
ZC3H12A	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	0.6990345159034008	2.8127556331688823
ZEB2	2.7159283050517904	1.4304921529427612	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16
ZFP36L1	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	6.063489288204135	3.1786831749171505
11p:AMP	1.5925273917617946	5.353014309379546	2.220446049250313e-16	1.0531828179768725	0.32525607988043426
11q:AMP	2.180047928169136	5.471354730495042	2.220446049250313e-16	0.8902338768411776	0.6956379220344362
11q23.3:AMP	2.220446049250313e-16	3.5157347891715887	2.220446049250313e-16	0.24352193199004435	1.853732790096924
12p:AMP	1.5093305918308093	1.1428858889616977	2.3485551684043466	1.9561214627798449	0.5306565400809061
12p12.1:AMP	0.4608400753001647	3.1330136854006114	2.220446049250313e-16	2.220446049250313e-16	1.5666314643407617
12q:AMP	1.581914891988482	0.9281391240600527	3.1860646439109583	2.1391192273403323	1.292391254714999
13q:AMP	1.5803510910495946	1.2566087379429667	1.2787256500348116	2.220446049250313e-16	2.2181852840461445
13q31.3:AMP	2.220446049250313e-16	3.0633073216947784	0.8885153963590854	2.220446049250313e-16	0.6229481243178537
17q24.3:AMP	0.4095977843252753	4.671226210374165	0.24660010099450555	1.4965666558197321	1.3342903813681046
18p:AMP	2.220446049250313e-16	2.714916938236021	2.03362606651775	2.220446049250313e-16	8.044862127192632
18q:AMP	2.220446049250313e-16	4.377170194667562	1.2996059861943319	2.220446049250313e-16	12.794679312825684
19q:AMP	0.8046321421421834	1.714236879827009	0.9589577009617002	2.220446049250313e-16	3.9477527312196803
19q13.42:AMP	0.2650796881337794	1.857060656762467	2.220446049250313e-16	2.220446049250313e-16	3.2141780741831103
1q:AMP	2.6639558542725155	2.430027178520854	1.2517119980185547	2.2208924784696245	1.5433222608220134
1q23.3:AMP	2.220446049250313e-16	4.036770051892796	8.178518589989049e-4	0.5481029195696359	2.220446049250313e-16
1q32.1:AMP	2.220446049250313e-16	2.774797193115407	0.4633484938208198	0.6532624109679593	0.5488401520746434
21q:AMP	2.220446049250313e-16	6.969383018974907	2.220446049250313e-16	1.2265977893743971	2.220446049250313e-16
2p16.1:AMP	2.2336636787751405	9.114356574639725	2.8546275730852937	3.8781080172927105	2.220446049250313e-16
3p:AMP	2.220446049250313e-16	1.892914579371278	2.220446049250313e-16	2.220446049250313e-16	6.807211314836139
3q:AMP	2.220446049250313e-16	3.3018822954070997	2.220446049250313e-16	2.220446049250313e-16	9.528499899578394
3q28:AMP	2.220446049250313e-16	1.4809514104473491	1.5573675984513637	2.220446049250313e-16	2.220446049250313e-16
5p:AMP	2.923047139474962	4.489621215020887	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16
5q:AMP	2.44441118587271	3.9454854994012196	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16
6p:AMP	0.8477589021059203	5.499914418287671	1.0564381358240684	2.220446049250313e-16	1.446869303286659
6p21.1:AMP	2.220446049250313e-16	1.9664305965679392	0.34836367904037896	0.31211413105452857	2.220446049250313e-16
7p:AMP	0.856928775876427	5.824564305316944	5.0430039007725656	2.7336066089147497	2.0989579763076494
7q:AMP	1.0421280486868787	5.366392662717865	4.195020004816365	2.260484961487661	1.8083485739762188
7q22.1:AMP	2.220446049250313e-16	2.468305872849266	2.220446049250313e-16	1.0411548782711788	2.220446049250313e-16
8q24.22:AMP	2.220446049250313e-16	5.9799557651325745	2.289118323672527	0.39361202963363623	2.4330966799004172
9p24.1:AMP	1.1774087032696308	4.415964463857913	2.220446049250313e-16	2.220446049250313e-16	3.357088806431032
9q:AMP	1.054392999179604	3.821760925536237	2.220446049250313e-16	2.220446049250313e-16	1.4421163910487615
10q23.31:DEL	2.220446049250313e-16	3.2277325546066855	2.153385459871148	2.220446049250313e-16	2.220446049250313e-16
12p13.2:DEL	2.220446049250313e-16	2.7905570754057494	1.0032274444976763	2.220446049250313e-16	1.6177727746191763
13q14.2:DEL	2.220446049250313e-16	3.8903667448829267	1.8778429684034006	0.41705716731751136	0.06039184289638489
13q34:DEL	2.220446049250313e-16	4.644621125068058	1.005479447664708	2.220446049250313e-16	2.220446049250313e-16
14q32.31:DEL	2.220446049250313e-16	4.230129698211747	2.220446049250313e-16	0.9645894430677834	0.9617344164382714
15q15.3:DEL	2.220446049250313e-16	5.399548133663824	2.221622367435305	2.220446049250313e-16	3.070697689041704
16q12.1:DEL	0.3564127476931985	4.389767875208917	0.5895179896364945	2.220446049250313e-16	2.220446049250313e-16
17p:DEL	2.220446049250313e-16	9.331673457197462	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16
17p11.2:DEL	2.220446049250313e-16	0.9351255631986113	2.220446049250313e-16	2.220446049250313e-16	0.8604302691174086
17q25.1:DEL	2.220446049250313e-16	0.7294792042075792	2.220446049250313e-16	2.220446049250313e-16	2.370769537732139
18q23:DEL	2.220446049250313e-16	3.1611672587615716	2.039671998760019	0.5038845539175246	2.220446049250313e-16
19p13.2:DEL	2.220446049250313e-16	2.0612361703553836	2.220446049250313e-16	2.220446049250313e-16	1.9843216511902424
19p13.3:DEL	2.220446049250313e-16	4.470675711225811	2.220446049250313e-16	0.9107706580712756	1.7024700889998003
19q13.32:DEL	2.220446049250313e-16	1.1322153239145667	2.220446049250313e-16	2.220446049250313e-16	1.276742614809168
1p13.1:DEL	2.220446049250313e-16	6.079726646355928	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16
1p31.1:DEL	2.220446049250313e-16	6.503893621683085	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16
1p36.11:DEL	2.220446049250313e-16	6.928060597010234	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16
1p36.32:DEL	1.2393531662556565	7.230435448225468	2.7304805844372053	2.220446049250313e-16	2.220446049250313e-16
1q42.12:DEL	2.220446049250313e-16	1.9806242603666295	2.220446049250313e-16	2.220446049250313e-16	1.7559038727202287
2q22.2:DEL	0.2808772325033091	3.39566484814861	2.220446049250313e-16	2.220446049250313e-16	0.8201716723530724
3p21.31:DEL	2.220446049250313e-16	6.17269196099662	1.2208291749086326	2.220446049250313e-16	1.577556327413749
3q28:DEL	1.1807367022959219	2.435515282843277	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16
4q21.22:DEL	2.220446049250313e-16	6.185484906228055	2.220446049250313e-16	2.220446049250313e-16	0.8390007613305583
4q35.1:DEL	2.220446049250313e-16	6.362504629907359	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16
6p21.33:DEL	0.7038369107543974	2.158017237253396	2.220446049250313e-16	0.3479448649327135	2.3828582067138786
6q:DEL	1.5018968943897644	3.7093396871459237	1.8893603514395294	2.220446049250313e-16	2.2875485634656134
6q14.1:DEL	1.9810622531730127	2.3088731300902476	0.5812144865068474	2.220446049250313e-16	0.8100967283077725
6q14.3:DEL	1.9302667395356612	3.4537179416991304	8.603217387107228e-9	2.220446049250313e-16	1.4159188545493997
6q21:DEL	1.724380786541783	4.371399947507746	2.220446049250313e-16	2.220446049250313e-16	2.672365194884881
6q23.3:DEL	1.7855587045560741	2.655345524281816	1.123724239427384	2.220446049250313e-16	1.6916680310601324
8q12.1:DEL	2.220446049250313e-16	4.07787383856409	2.220446049250313e-16	2.220446049250313e-16	1.143557132485008
9p21.3:DEL	2.220446049250313e-16	6.1694629985259875	2.220446049250313e-16	2.220446049250313e-16	0.6973544883791881
9q21.13:DEL	2.220446049250313e-16	4.694360952688955	2.220446049250313e-16	2.220446049250313e-16	0.606766484331975
SV:TP63	4.100642865326772	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16
SV:BCL2	2.220446049250313e-16	2.220446049250313e-16	29.91889492097707	2.220446049250313e-16	2.220446049250313e-16
SV:BCL6	25.515111162033243	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16
SV:CD274/PDCD1LG2	6.83440477554462	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16
SV:TBL1XR1	2.856532287261584	1.4783975833970935	2.220446049250313e-16	2.220446049250313e-16	1.0759705527314223
SV:CIITA	0.4344429696939362	2.220446049250313e-16	2.220446049250313e-16	1.4671009168731146	2.383523642173701
SV:ETV6	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	2.3962299038897115
