Gene	Feature	Annotation as aSHM	Included in statistical analysis
TNFAIP2	Homozygous deletion	NA	
TP73	Homozygous deletion	NA	
TRAF3	Homozygous deletion	NA	
ZFP36L1	Homozygous deletion	NA	
ZRSR2	Homozygous deletion	NA	
ABL1	Mutation		
ACTG1	Mutation		
AKAP9	Mutation		
ALK	Mutation		
APC	Mutation		
ARAF	Mutation		
ARID1B	Mutation		
ARID2	Mutation		
ASXL1	Mutation		
ASXL2	Mutation		
ATRX	Mutation		
BACH2	Mutation		
BCL11A	Mutation		
BCORL1	Mutation		
BCR	Mutation		
BIRC2	Mutation		
BIRC3	Mutation		
BLNK	Mutation		
CALR	Mutation		
CASP8	Mutation		
CBFB	Mutation		
CBL	Mutation		
CCND1	Mutation		
CD19	Mutation		
CD22	Mutation		
CD274	Mutation		
CD58	Mutation		
CDK4	Mutation		
CDKN1B	Mutation		
CDKN2A	Mutation		
CDKN2B	Mutation		
CDKN2C	Mutation		
CEBPA	Mutation		
CHD2	Mutation		
CHD4	Mutation		
CHEK2	Mutation		
CHUK	Mutation		
CSF2RB	Mutation		
CSF3R	Mutation		
CTCF	Mutation		
CTNNB1	Mutation		
CUX1	Mutation		
CYLD	Mutation		
DDX3X	Mutation		
DIS3	Mutation		
DNMT3B	Mutation		
DTX1	Mutation		
ECT2L	Mutation		
EED	Mutation		
EGFR	Mutation		
EGR2	Mutation		
ERBB2	Mutation		
ERCC4	Mutation		
ETNK1	Mutation		
ETV1	Mutation		
FAM46C	Mutation		
FAT2	Mutation		
FBXW10	Mutation		
FBXW7	Mutation		
FGFR2	Mutation		
FGFR3	Mutation		
FLT3	Mutation		
FNDC3A	Mutation		
FYN	Mutation		
GATA1	Mutation		
GATA2	Mutation		
GATA3	Mutation		
GCSAM	Mutation		
GMPS	Mutation		
GNAS	Mutation		
H3F3A	Mutation		
H3F3B	Mutation		
HIST1H2BO	Mutation	Yes	
HLA-A	Mutation		
HLA-B	Mutation		
HLA-C	Mutation		
HRAS	Mutation		
IDH1	Mutation		
IDH2	Mutation		
IKBKG	Mutation		
IL2RG	Mutation		
IL7R	Mutation		
INTS12	Mutation		
JAK1	Mutation		
JAK2	Mutation		
JAK3	Mutation		
KDM4C	Mutation		
KDM6A	Mutation		
KDR	Mutation		
KIT	Mutation		
KMT2A	Mutation		
KMT2E	Mutation		
KSR2	Mutation		
LCK	Mutation		
LYN	Mutation		
MALT1	Mutation		
MAP2K4	Mutation		
MAX	Mutation		
MECOM	Mutation		
MED1	Mutation		
MET	Mutation		
MLH1	Mutation		
MPL	Mutation		
MSH2	Mutation		
MSH6	Mutation		
MTOR	Mutation		
MYB	Mutation		
NBEAL2	Mutation		
NF2	Mutation		
NFE2	Mutation		
NFKB1	Mutation		
NFKB2	Mutation		
NFKBIZ	Mutation		
NPM1	Mutation		
NRAS	Mutation		
NTRK1	Mutation		
PBRM1	Mutation		
PDGFRA	Mutation		
PDGFRB	Mutation		
PDK1	Mutation		
PEG3	Mutation		
PHF6	Mutation		
PIK3CA	Mutation		
PLCG1	Mutation		
PLCG2	Mutation		
PMS2	Mutation		
POT1	Mutation		
PPM1D	Mutation		
PRDM1	Mutation		
PRPF40B	Mutation		
PTCH1	Mutation		
PTPN1	Mutation		
PTPN11	Mutation		
PTPRD	Mutation		
RAD21	Mutation		
RAD51	Mutation		
RAG2	Mutation		
RB1	Mutation		
RCOR1	Mutation		
REL	Mutation		
RELN	Mutation		
RET	Mutation		
ROS1	Mutation		
RPL10	Mutation		
RPL5	Mutation		
RPN1	Mutation		
RPS15	Mutation		
RPS2	Mutation		
RUNX1	Mutation		
S1PR2	Mutation		
SAMHD1	Mutation		
SETBP1	Mutation		
SETD2	Mutation		
SETDB1	Mutation		
SF1	Mutation		
SF3A1	Mutation		
SF3B1	Mutation		
SH2B3	Mutation		
SMARCB1	Mutation		
SMC1A	Mutation		
SMC3	Mutation		
SNX7	Mutation		
SP140	Mutation		
SPRY4	Mutation		
STAG2	Mutation		
STAT5B	Mutation		
STK11	Mutation		
SUZ12	Mutation		
SYK	Mutation		
TCF3	Mutation		
TET1	Mutation		
TET3	Mutation		
TGDS	Mutation		
THPO	Mutation		
THRAP3	Mutation		
TNFAIP2	Mutation		
TNFAIP3	Mutation		
TNFRSF14	Mutation		
TNKS	Mutation		
TP53	Mutation		
TP73	Mutation		
TRAF2	Mutation		
TRAF3	Mutation		
TYK2	Mutation		
U2AF1	Mutation		
U2AF2	Mutation		
USP29	Mutation		
USP6	Mutation		
WHSC1	Mutation		
WT1	Mutation		
XBP1	Mutation		
ZRSR2	Mutation		
