Feature	BCL2	MYD88	NEC	NOTCH2	SOCS1/SGK1	TET2/SGK1	MeanDecreaseAccuracy	MeanDecreaseGini
KLHL6	0.002129072489072793	-1.497580457923528e-4	0.004032604387050478	0.00442827037444222	8.049383877004985e-4	0.010520468736200992	0.0033427491308609765	5.587122915692373
KMT2C	3.5486576797139524e-4	-1.339334336865765e-4	4.1311188947673475e-4	8.651162790697675e-5	6.847663036118048e-5	-6.263768120978748e-5	1.5851024972778614e-4	1.575730669720646
KMT2D	0.022933425308093572	0.004443522642844723	-0.002742650993068833	5.914699720040381e-4	0.005157327336537419	0.044571018529311585	0.010502044360701688	13.925425892242274
KRAS	1.3661127131609041e-4	1.1111453503844911e-5	-6.674280619131984e-5	2.2576227391156317e-4	-8.193317556907821e-5	0.0010989516444325775	1.647382832371706e-4	1.2533635983468299
LTB	0.0021416505415423953	1.5588358742619327e-4	0.016124924716838518	0.00800845772967175	0.011092209747949455	0.0023662775184298936	0.0069969462049901555	7.073831470801034
MAP2K1	-1.0929547556391959e-4	2.6445989304964485e-4	-8.541032543026144e-5	3.276776822862839e-4	-6.736905951094562e-4	0.0033497414486619204	3.4743864972819913e-4	1.7873704896983291
MEF2B	0.008363339129168201	-1.1689264385103956e-4	0.004891579807626791	0.0011054905183232931	0.004380953383599722	0.00349325570001825	0.0038909379591533224	5.9761184830878
MGA	-3.790391554915809e-5	2.8379313604979063e-5	-3.280552554240944e-4	3.128170848759083e-4	4.824773622727587e-5	6.764442490993311e-4	4.450440592460438e-5	1.1406233419243055
MPEG1	0.003962028174365742	0.0046762805470452334	0.0027628767286395884	9.905461693024839e-5	9.563850128367888e-4	-2.79995511958539e-5	0.0023500440415109695	3.5282419293506484
MYC_S	-3.5182992780967724e-4	3.1922999318565105e-4	0.0031489843877753115	2.9958426233125647e-4	-4.0199428246746714e-4	1.4119195467367235e-4	7.095471588140843e-4	3.0196057406483434
MYD88_265	0.0374592824258056	0.17016458887449235	0.01630506622259477	0.01902908699405381	0.022137076042475893	0.01993040730488156	0.048787597344709895	36.08208104325409
MYD88_noncan	-6.886544496007345e-4	-7.95373188091928e-5	-1.7507164769667893e-4	-0.0010713088744273929	-9.348066368939234e-5	4.267749445879098e-4	-3.344220340585851e-4	2.11265500494159
NF1	7.693660829027302e-5	4.354553492484516e-6	-1.1750280197974638e-4	1.2499063720237426e-4	-8.452696561127102e-5	1.8999875451488355e-4	1.8777444881614952e-5	1.1696205291271065
NFKBIA	0.008399023393004324	0.0028195019456661477	0.005227068339637991	0.0026211597778505605	0.022293442371549038	-3.034742442990601e-4	0.0065539557138988075	7.594668868320697
NFKBIE	5.652987619995703e-4	0.003782463372986639	-1.3974806776950578e-4	7.169400700225584e-4	-6.04059906210215e-6	9.01727717903368e-5	8.871962117213112e-4	3.587785939338633
NOTCH1	9.246081359800976e-4	6.901754688480969e-4	-1.5995336697778118e-4	-4.4721894306967713e-4	1.4307359307359307e-4	3.6971677004041926e-4	2.6376634339340976e-4	1.5221458087527293
NOTCH2	0.007395355013835618	0.009985181798904612	0.007092184635224353	0.034696527304776806	7.722854641998889e-4	0.003659392065362445	0.011043413760765943	12.448338721191874
P2RY8	-5.703466718773994e-4	4.2193027896531937e-4	0.0029878474508102286	8.535129166558665e-4	-1.3985564643983724e-4	0.002114448767164789	9.801289470921573e-4	2.814156901513835
PAX5	4.7305071776675454e-4	3.290187904783168e-4	0.009463254237202156	1.1752213925534225e-4	-3.9850087604184896e-4	0.006566926005735471	0.002950233204794317	3.7254752440231065
PDS5B	1.3729830911318654e-4	4.0898898919075e-4	0.0010994265486765132	9.043676861233234e-4	-1.3544443423108742e-4	1.0668563300142248e-4	4.837049802461857e-4	1.2601718585279802
PIK3CD	7.419735108522292e-6	0	1.7232012248416295e-4	-2.3483839529708106e-4	0	-5.882352941176471e-5	-7.930422420784965e-6	0.4112540300242189
PIK3R1	2.653231616495369e-4	3.773584905660377e-5	3.192944847297191e-5	8e-5	-4.291968194407219e-5	-1.2610837438423644e-4	5.83554628739233e-5	0.9343863128314882
PIM1_S	0.012805667202472615	0.16856167056559743	0.08632991406854737	0.022143090939212094	0.012369478148455406	0.020186317961709534	0.058440368382689255	34.06265693820501
POU2AF1	-6.470533223670741e-5	-1.1928815723964757e-4	6.20080872233532e-4	-2.0542512118526955e-4	-7.87355877828613e-5	1.2624269005847953e-4	7.656900500392154e-5	1.3478090488908347
POU2F2_239	-1.653426517714902e-4	1.5930912350136468e-4	0.0013589083964648636	2.9276299581177626e-4	5.832755832755833e-5	-2.418745404098487e-4	3.213129229668914e-4	1.201797786116268
POU2F2_noncan	-1.6341563091139123e-4	-5.198781740559141e-5	0.002664015694176558	-5.220349677142141e-4	-2.940186322390569e-5	3.16286012837737e-4	4.939874959815944e-4	1.7732131712223453
PRKCB	-2.2020627131838716e-4	1.5055098199434757e-4	7.191538934656455e-4	1.3810055535861987e-4	-1.0818713450292398e-4	7.483563016804802e-4	2.304643917970045e-4	1.1901187485737927
PTEN	-4.703329461355776e-5	1.3373226347522555e-5	6.504057974075383e-4	-2.0482923497658532e-4	-1.371269871269871e-4	-1.1156629313013816e-4	7.551012435634796e-5	1.1514570286731143
PTPN6	1.6267378253619815e-4	1.5059228592836078e-4	7.253746825126582e-5	3.5179297949090074e-4	-1.6146075637274025e-4	0.001130310135166444	2.3743256735879044e-4	1.3216359101461583
PTPRC	-2.4056133164354116e-4	8.290598290598292e-5	-2.930922918608595e-5	2.701493508102328e-4	1.453877333482938e-4	-1.48011788593114e-4	1.4817232389503613e-5	0.7809932924425006
RASA2	-7.303099719600234e-6	-7.305825719618822e-5	6.440084721568074e-4	1.447427542114732e-4	0	0	1.4877710279267075e-4	1.1467060653030088
RHOA	-7.576488578716331e-4	1.7815840278059212e-4	-3.886042544979487e-4	-3.265014962234827e-4	1.7770451715282605e-5	7.119688141049512e-4	-1.8742352795549737e-4	2.0533881765305257
ROBO1	3.9562018801480686e-4	-7.221860767729343e-5	-1.4783114958478877e-4	6.691938209950741e-4	0	-4.683573603340345e-4	8.878882850071422e-5	1.3199233901650507
SGK1_S	0.0016470268122428838	0.012335231294585892	0.02327491980646651	0.03528474283804906	0.06179289789975144	0.026294897630225515	0.024147268159891832	19.149028569095766
SMARCA4	-1.471677960842047e-4	1.8080085171822322e-4	2.5969684402640885e-5	-1.1219953959084396e-4	-4.2553191489361704e-5	2.4743190379600114e-4	1.2615727877009663e-5	1.0570319137114674
SOCS1_S	-2.918367185686616e-4	0.0042292086881359015	0.047023079813270634	0.01293253708964444	0.08655977938531637	-0.005593693869148779	0.023698678852326842	18.069395420381856
SPEN	7.195414860519818e-4	-2.74241052871499e-5	0.0040105825661523676	0.008575788912596496	2.2707233451283164e-4	9.202176423536155e-4	0.002521891150218224	5.034579094593273
SPIB	0	6.7655374300500725e-05	3.497895139686184e-5	0	0	6.451612903225807e-5	2.6621202144187072e-5	0.33105779058696927
SRSF2	-1.6738506234440965e-4	3.389830508474576e-5	6.992228607041746e-4	-3.644463411125466e-5	0	1.6675246675246675e-4	1.3711703576447157e-4	1.0523560061514698
STAT3	0.002485943676008288	0.001494202293705958	0.00876897870002806	-9.868778811619803e-4	0.0012612175901025582	0.0011344130576777	0.0027872605827051937	4.426871891375388
STAT6	0.0164911647907992	0.0017467165400093	0.01345513989244564	0.0030343364226943417	3.0671056151009176e-4	0.004370488474226377	0.007645565068277905	7.114991758570589
TBL1XR1	0.0012035542699626609	0.007430087519207607	9.966896412551265e-4	8.492580471089985e-4	0.002498977815748113	3.164537435103953e-5	0.0022126329117700696	4.325981315964487
TET2	0.0031159203899277696	0.009936623102249457	-0.0022975701766635285	0.004919672988044693	0.005961307125121488	0.07779131838092375	0.011992266529607788	13.193794023244388
TLR2	-1.8825310931759896e-4	2.3421174112278137e-4	6.495933738885648e-4	2.122940786215532e-4	2.0693547827786655e-4	5.405405405405406e-5	2.056354784267422e-4	1.099922333163233
TMEM30A	0.002024445811312555	3.2409729325271955e-4	0.02266397362651761	0.007546308744061829	0.0012895859946401918	-4.8629877024002565e-4	0.006807696902748236	6.8697650269121135
TNF	1.5144375399462587e-4	6.534391534391534e-5	9.375397783035546e-5	5.165673679625545e-4	4.444444444444444e-5	-1.2669789173833684e-5	1.576809331535559e-4	1.0340819046907725
XPO1	1.8737144389751782e-4	3.7037037037037037e-5	7.289106193576583e-4	2.2436240176126803e-5	0.0014572518238436933	-3.1936993020184866e-4	3.6629425781115873e-4	1.09427589846176
ZFP36L1	1.3604587005575254e-4	1.3450155007030948e-4	-1.5505865510469615e-4	6.445481988373665e-4	-0.0013039572506967608	0.0015015587165423416	1.234410256430358e-4	2.5975568205731596
